Designator,Mid X,Mid Y,Rotation,Layer
LED64,241.92,-74.65,0.0,top
LED65,70.92,-83.15,0.0,top
LED66,154.08,-77.05,0.0,top
LED67,217.58,-100.15,0.0,top
LED68,200.58,-122.15,0.0,top
LED69,170.92,-36.55,0.0,top
LED7,204.08,-79.15,0.0,top
LED70,214.42,-36.55,0.0,top
LED71,102.58,-86.65,0.0,top
LED72,149.08,-108.15,0.0,top
LED73,70.42,-52.55,0.0,top
LED74,130.42,-52.55,0.0,top
LED75,186.92,-52.65,0.0,top
LED76,246.92,-74.55,0.0,top
LED77,73.92,-79.65,0.0,top
LED78,161.08,-77.05,0.0,top
LED79,217.42,-105.15,0.0,top
LED8,184.0,-102.1,0.0,top
LED80,201.08,-127.15,0.0,top
LED81,181.58,-61.65,0.0,top
LED82,219.92,-36.55,0.0,top
LED83,106.5,-83.6,0.0,top
LED84,149.08,-113.65,0.0,top
LED85,74.58,-52.55,0.0,top
LED86,134.42,-52.65,0.0,top
LED87,195.92,-52.65,0.0,top
LED88,253.0,-74.6,0.0,top
LED89,78.92,-77.65,0.0,top
LED9,181.92,-36.55,0.0,top
LED90,173.0,-77.1,0.0,top
LED91,217.58,-110.55,0.0,top
LED92,201.08,-132.05,0.0,top
LED93,181.5,-68.1,0.0,top
LED94,226.08,-36.65,0.0,top
LED95,111.08,-79.15,0.0,top
LED96,149.08,-119.65,0.0,top
LED97,78.58,-52.55,0.0,top
LED98,138.92,-52.55,0.0,top
LED99,200.42,-52.65,0.0,top
Q101,65.95,-147.4375,90.0,top
Q102,60.0,-152.5,90.0,top
R1,63.0,-132.825,90.0,top
R101,54.825,-121.98,0.0,top
R103,54.825,-124.49,0.0,top
R104,54.825,-127.0,0.0,top
R105,54.825,-129.51,0.0,top
R106,54.825,-132.02,0.0,top
R107,42.5,-135.0,90.0,top
R108,58.835,-121.98,0.0,top
R109,58.835,-124.49,0.0,top
R111,58.835,-127.0,0.0,top
R112,58.835,-129.51,0.0,top
R113,58.835,-132.02,0.0,top
SW129,33.5775,-95.6,270.0,top
U1,48.0,-143.5,90.0,top
U103,60.0,-144.0,0.0,top
USB101,35.0291,-113.1,270.0,top
X101,46.0,-135.0,270.0,top
X102,44.75,-150.5,0.0,top
